id,text,target
90,oecd여성들중에 가장 의욕없고 꿀빨러에 핑계대기 일상인 한국 여자들이 전세계도 아니고 oecd 선진국 여자들에 비비면서 임금문제 거론하는게 가장 어이없다,여성 분들의 근로기여가 더 있어야 임금문제를 거론할수 있다고 생각합니다
120,ㅈ 라인이 너무 이쁘다,몸매 라인이 너무 예쁘다
266,개티즌들 또 소설쓴다 그 난리법석 친 김광석 마누라 사건도 무혐의로 끝났구만,일부 네티즌들이 사실을 왜곡하고 있다. 화제가 됐던 김광석 아내 사건도 무혐의로 끝났었다.
439,궁금한건 기레기들 뿐이지 어디다 뒤집어 씌우려고 수작이야,궁금한건 기자들 뿐이지 어디다 뒤집어 씌우려고 수작이야
464,그냥 ㅂㅅ,그냥 ㅂㅅ
505,그래 민폐 였지 키는 난쟁이 똥자루만한게 안 어울리게 사이에 껴서,그래 민폐 였지 키는 조그마한게 안 어울리게 사이에 있어서
546,그렇게 일본 불매하자던 사람들이ㅋㅋㅋ 역시 개돼지들ㅋㅋ,일본 불매하자던 사람들이 주장과 맞지 않는 행동을 보인다.
651,기안하차언제해 좀 하차해 니땜에 나혼산안봐,기안이 있어서 나혼산을 잘 안 보게 된다.
883,남자가 바람좀 필수도있지 매일 집밥만먹나 주기적으로 외식도하고 그러는거지 재결합해줘라,사람이 외도를 할 수도 있지 재결합해줘라
961,너무 미화하네 옛날부터 국대축구 본 사람들은 손탐욕인거 다 아는데,너무 미화하네 옛날부터 국대축구 본 사람들은 다 알아
1060,늙탱이 40대 줌들이 빠는 그새끼네 ^^,나이 지긋한 40대 아주머니들이 옹호하시는 그 사람이네 ^^
1096,다거르고 빅뱅노래는 ㅈㄴ잘냄 노래나 내라,빅뱅 노래는 엄청 좋아 노래 빨리 냈으면 좋겠다
1102,다들 섣부른 판단말길 조사해보면 나올것이고 여기서 난리 필 이유아닌거 같다 우리나라 사람들 은 왜 그렇게 남들에게 괸심이 많은지 내주변도 잘 돌보지 못하면서 오지랍 쩔어,"다들 섣부르게 판단하지 말았으면 좋겠다. 조사해보면 나올 것이고 여기서 난리 피울 정도는 아닌 것 같다. 내 주변도 그렇고, 자신의 행동에 비해 다른 사람에게 관심이 지나치게 많은 것 같다."
1173,댓글중에 슬슬 쿵쾅거리는데....,댓글 중 맘에 안 드는 댓글이 있다.
1290,듣보가 죽어도 조문오내,잘 모르는 사람의 장례에도 조문을 오네
1291,듣보같은데 소속사 알바 ㅈㄹ풀었네 ㅉ,"들어본 적 없는 것 같은데, 소속사에서 홍보를 너무 많이하는 것 같다."
1454,몰입도 안되고 내용은 겁나게 어지럽고 CG는 개 유치하고 ~~뭐 이런작품을 540억 들여 만들었단게 미스테리다,이 작품은 투자 대비 성과가 떨어지는 것 같다.
1510,문재앙놈 땜에 애꿎은 젊은남자들만 희생을 당하네~~~,문재인 때문에 잘못 없는 청년 남성들만 희생한다.
