id,text,target,label1,label2,label3
40,40대 여자들이 나이값못하고 현빈 멋있다고 하악하악 거리는거 개극혐ㅋㅋㅋㅋ당신들의 튀어나온 뱃살과 흉측한 얼굴을보고 반성하길바람^^;;;,40대 여자들이 나이에 맞지 않게 현빈이 멋있다고 하는 모습이 좋아보이지 않는다. 자기 자신의 모습을 돌아보고 반성했으면 좋겠다.,저 40대 여자들이 나이값못하고 현빈 멋있다고 하악하악 거리는거 개극혐ᄏᄏᄏᄏ당신들의 튀어나온 뱃살과 흉측한 얼굴을보고 반성하길바람^^;;;,나는 40대 여자들이 나이값못하고 현빈 멋있다고 하악하악 거리는 게 싫다. 당신들의 튀어나온 뱃살과 흉측한 얼굴을 보고 반성하길 바람,나는 40대 여자들이 나이값못하고 현빈 멋있다고 하악하악 거리는 게 싫다. 당신들의 튀어나온 뱃살과 흉측한 얼굴을 보고 반성하길 바람
42,40대늙은이 32% 돌아이련들...쯧쯧쯧,40대 어른 32%는 이상한 사람들인 것 같다.,나는 40대 어르신들이 싫다,나는 40대 여성들이 싫다,저 40대 아주머니 32%가 돌아가셨네
116,ㅇㅇ아프던 말던 뭔상관 비호감인건 변함없노ㅋㅋ,아프던 말던 뭔상관 호감낮은건 변함없다,나는 아프던 말던 비호감이다,나는 저 사람이 아프던 말던 비호감이다,앓던 말던 비호감이다
151,"ㅋㅋㅋㅋㅋ 현아 니는 섹시한거 진짜 싫다며? 근데 맨날 하는건 섹시한 옷, 표정, 춤!","현아는 섹시한 게 싫다고 하면서, 매번 섹시한 옷, 표정, 춤을 한다.",나는 현아의 외모가 마음에 들지 않는다,나는 현아의 외모와 행동이 싫다,ᄏᄏᄏᄏᄏ 현아는 섹시한거 진짜 싫다며? 근데 그다지 하는 건 아니잖아
162,ㅋㅋㅋㅋ아니 뭐 그럼 딸이랑 인연 끊고 살리?ㅋㅋㅋ 김치녀들 진짜 별거 가지고 다 욕하네 ㅋㅋㅋ 세계원정성매매1위 김치녀,그렇다고 딸이랑 인연 끊고 살 수는 없는 일 아닌가? ,ᄏᄏᄏᄏ아니 뭐 그럼 딸이랑 인연 끊고 살리?ᄏᄏᄏ 세계원정성매매1위 여자들 진짜 별거 가지고 다 욕하네 ᄏᄏᄏ,"얘네들 진짜 별거 가지고 다 욕하네 ᄏᄏᄏ 세계원정성매매1위 김치녀,",ᄏᄏᄏᄏ아니 뭐 그럼 딸이랑 인연 끊고 살리?ᄏᄏᄏ 여자들 진짜 별거 가지고 다 욕하네 세계원정성매매1위 김치녀
175,ㅋㅋ댓글로 사재기 햇다는 님들아 확증 없이 떠뜰지좀 마라어디까지나 당신들 심증일 뿐 이잖아...ㅋㅋ,"댓글로 사재기를 했다고 주장하는 사람들이, 확증 없이 이야기하지 않았으면 좋겠다. 어디까지나 당신들의 심증일 뿐이다.",ᄏᄏ댓글로 사재기 햇다는 님들아 확증 없이 떠뜰지좀 마라어디까지나 당신들 심증일 뿐 이잖아...,ᄏᄏ댓글로 사재기 햇다는 님들아 확증 없이 떠뜰지좀 마세요 당신들 심증일 뿐이죠,ᄏᄏ댓글로 사재기 햇다는 님들아 확증 없이 떠뜰지좀 마세요. 당신들 심증일 뿐이죠.
277,거 담배좀적당히 쳐피시라니까~~ 결국갔구먼....,담배 좀 적당히 피시지 결국 세상을 떠났구먼,동성애자를 별로 좋아하지 않는다.,나는 저 사람의 외모가 마음에 안 든다,나는 저 사람의 외모가 마음에 안 든다
307,"결별관심없고, 그냥 한혜진 왜나오는지 모르겠음 화사가 차라리 백번 착해보이고 궁금함","결별에 관심 없다. 화사가 한혜진보다 더 착해보이고 궁금해서, 출연했으면 좋겠다.",나는 결별에 관심 없다. 그냥 한혜진이 왜 나오지 모르겠다. 화사도 궁금하다.,저 사람의 외모가 마음에 안 든다,나는 결별에 관심 없다. 한혜진이 화보를 찍지 않았으면 좋겠다
347,고인팔이? 와 진짜 세상에 지능 이상한 애들이 많구나 ㅋㅋㅋ,"고인을 이용하다니, 세상에 이해할 수 없는 행동을 하는 사람들이 많다.",저 사람의 외모가 마음에 들지 않는다,저 사람의 외모가 마음에 안 든다,고인배? 와 진짜 세상에 지능 이상한 애들이 많구나
383,관종인건 확실함...,관심받는걸 좋아하는건 확실함,나는 관종인건 확실하지 않다,저 사람이 관종인건 확실함...,나는 관종인건 확실하지 않다
